Songs
Long Road Home,Uwrongo,Good News
Uwrongo,Back Door,7 Summers
Back Door,Yo Perreo Sola,WAP
7 Summers,Long Road Home,Back Door
Think About Things,7 Summers,Uwrongo
Good News,Little Nokia,People I’ve Been Sad
Little Nokia,Yo Perreo Sola,7 Summers
Yo Perreo Sola,People I’ve Been Sad,Long Road Home
WAP,Back Door,Uwrongo,Long Road Home
People I’ve Been Sad,7 Summers,Back Door
7 Summers,Back Door,People I’ve Been Sad
Long Road Home,Good News,WAP
Little Nokia,Back Door,Uwrongo
Long Road Home,7 Summers,Yo Perreo Sola
Back Door,Think About Things,Little Nokia
WAP,Good News,Uwrongo
Little Nokia,Yo Perreo Sola,Uwrongo
Think About Things,Long Road Home,People I’ve Been Sad
WAP,Back Door,Long Road Home
Uwrongo,Little Nokia,7 Summers
Good News,Back Door,WAP
WAP,Yo Perreo Sola,Back Door





